"regions","indicators","price-type","economic-activity-of-non-petrol","institutional-sector","Unit","Date","Value"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2019","242.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2020","278.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2010","5400.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2011","6398.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2012","7195.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2013","7217.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2014","7254.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2015","6841.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2016","6718"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2017","6935.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2018","7526.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2019","6912.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Industry Activities","Total","Mn.R.O","2020","5885.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2010","9980.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2011","11029.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2012","12595.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2013","13739.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2014","15081.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2015","15167.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2016","15406.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2017","16173.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2018","16714.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2019","17157.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Services Activities","Total","Mn.R.O","2020","15563.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2010","163.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2011","187.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2012","191.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2013","187"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2014","219.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2015","218.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2016","236.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2017","277.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2018","275.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2019","236.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Mining and Quarrying","Total","Mn.R.O","2020","220.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2010","2510.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2011","3118.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2012","3338.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2013","3253.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2014","3076.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2015","2698.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2016","2286.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2017","2641.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2018","3198.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2019","2718.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing","Total","Mn.R.O","2020","2268.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2010","55.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2011","136.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2012","118.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2013","45.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2014","36.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2015","208.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2016","80.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2017","146.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2018","147.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2019","58.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Refined Petroleum Products","Total","Mn.R.O","2020","68.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2010","932.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2011","1287.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2012","1396"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2013","1345.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2014","1221.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2015","900.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2016","749.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2017","928.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2018","1237.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2019","1048.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Manufacturing of Chemicals and Chemical Products","Total","Mn.R.O","2020","799.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2010","1522.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2011","1694.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2012","1823.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2013","1862.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2014","1818.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2015","1589.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2016","1456"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2017","1565.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2018","1813.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2019","1611.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Other Manufacturing","Total","Mn.R.O","2020","1400.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2010","423.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2011","466.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2012","510.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2013","643.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2014","718.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2015","755.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2016","780.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2017","771.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2018","795.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2019","755.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Electricity and Water supply; sewerage, waste management and remediation activities","Total","Mn.R.O","2020","773.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2010","2303.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2011","2626.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2012","3154.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2013","3133.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2014","3239.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2015","3169.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2016","3415"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2017","3244.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2018","3257.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2019","3201.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Construction","Total","Mn.R.O","2020","2623"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2010","2238.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2011","2500.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2012","2716"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2013","2879.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2014","2970.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2015","2799.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2016","2654.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2017","2814.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2018","2925.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2019","2794.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Wholesale and Retail Trade","Total","Mn.R.O","2020","2464.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2010","1197.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2011","1300.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2012","1532.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2013","1764.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2014","1647"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2015","1623.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2016","1447.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2017","1681.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2018","1817.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2019","1872.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Transport, Storage","Total","Mn.R.O","2020","1088.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2010","383.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2011","407.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2012","469.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2013","492.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2014","526.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2015","540.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2016","571.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2017","589"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2018","643.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2019","712.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Hotels and Restaurants","Total","Mn.R.O","2020","436"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2010","533.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2011","546.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2012","552.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2013","522.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2014","558.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2015","585.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2016","606.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2017","605.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2018","617.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2019","599.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Telecommunications and Information service activities","Total","Mn.R.O","2020","554.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2010","1016.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2011","1109.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2012","1286.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2013","1352.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2014","1449.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2015","1510"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2016","1655.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2017","1801.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2018","1995"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2019","2119.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Financial Intermediation","Total","Mn.R.O","2020","1967.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2010","1320.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2011","1444.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2012","1522"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2013","1573.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2014","1651.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2015","1605.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2016","1635.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2017","1718.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2018","1880.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2019","1995.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Real estate, Professional and technical and Administrative service activities","Total","Mn.R.O","2020","1630.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Public Administration & Defence","Total","Mn.R.O","2010","1604.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Public Administration & Defence","Total","Mn.R.O","2011","1934.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Public Administration & Defence","Total","Mn.R.O","2012","2472.8"
