"region","indicator","station","networks","opwp-purchases","Unit","Date","Value"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2016","3058"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2017","3223.9"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2018","3143.31859822146"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2019","3416.64883500902"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2020","3157.5"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2012","6520"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2013","5979"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2014","5774.1"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2015","5439.9"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2016","3731"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2017","3735.9"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2018","3414.19936250538"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2019","1526.529651"
"Oman","Electricity production (GW/H)","Muscat","Total","Total","Gw/H","2020","1118.6"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2012","2320.5"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2013","2620"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2014","2813.5"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2015","3140.6"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2016","3324.9"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2017","3525.7"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2018","3447.71073322146"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2019","3632.32894107961"
"Oman","Electricity production (GW/H)","Dhofar","Total","Total","Gw/H","2020","3596.6"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2012","265.6"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2013","288.6"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2014","315.1"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2015","343.3"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2016","351.9"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2017","363.9"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2018","426.564828"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2019","424.718796"
"Oman","Electricity production (GW/H)","Musandam","Total","Total","Gw/H","2020","407.7"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2012","1473.1"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2013","1194.1"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2014","1102.3"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2015","1293.9"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2016","1139.2"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2017","1125.5"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2018","1184.555"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2019","776.4141"
"Oman","Electricity production (GW/H)","Ad Dakhliyah","Total","Total","Gw/H","2020","23.5"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2012","12041.6"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2013","13763.4"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2014","15334.4"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2015","16615.9"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2016","17899.6"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2017","18439.6"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2018","19378.5063864"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2019","22532.1725498551"
"Oman","Electricity production (GW/H)","Al Batinah and Adh Dhahirah","Total","Total","Gw/H","2020","23243.6"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2012","1656.9"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2013","1716.1"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2014","2843.6"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2015","4968.6"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2016","6867.8"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2017","8093.7"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2018","8916.961971"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2019","8071.462504"
"Oman","Electricity production (GW/H)","Ash Sharqiyah","Total","Total","Gw/H","2020","8058.7"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2012","87.3"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2013","100"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2014","160"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2015","280.2"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2016","286"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2017","388.2"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2018","448.323049"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2019","549.710072209085"
"Oman","Electricity production (GW/H)","AL Wusta","Total","Total","Gw/H","2020","543.6"
"Oman","(Total production of electricity (GW/H)","Total","Total","Total","Gw/H","2012","25017.3"
"Oman","(Total production of electricity (GW/H)","Total","Total","Total","Gw/H","2013","26238.1"
"Oman","(Total production of electricity (GW/H)","Total","Total","Total","Gw/H","2014","29128"
"Oman","(Total production of electricity (GW/H)","Total","Total","Total","Gw/H","2015","32758"
"Oman","(Total production of electricity (GW/H)","Total","Total","Total","Gw/H","2016","34196"
"Oman","(Total production of electricity (GW/H)","Total","Total","Total","Gw/H","2017","36126"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2012","6724.9"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2013","6174.3"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2014","5930"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2015","5633.2"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2016","3879"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2017","3888"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2018","3527.21856"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2019","1535.9939"
"Oman","(Total production of electricity (GW/H)","Muscat","Total","Total","Gw/H","2020","1496.9"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2012","2752"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2013","2688"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2014","2235"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2015","1951"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2016","2069"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2017","1969.9"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2018","1346.105"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2019","0"
"Oman","(Total production of electricity (GW/H)","Ghubrah","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2012","3973"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2013","3487"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2014","3695"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2015","3682"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2016","1810"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2017","1918"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2018","2181.11356"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2019","1535.9939"
"Oman","(Total production of electricity (GW/H)","Rusayl","Total","Total","Gw/H","2020","1496.9"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2012","2508"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2013","2792"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2014","3009"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2015","3330"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2016","3473"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2017","3592.712348"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2018","3653.3"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2019","3985.1"
"Oman","(Total production of electricity (GW/H)","Dhofar","Total","Total","Gw/H","2020","3806.9"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2012","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2013","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2014","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2015","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2016","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2017","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2018","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2019","0"
"Oman","(Total production of electricity (GW/H)","Salalah (Gas)","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2012","928"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2013","620"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2014","954"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2015","1080"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2016","736"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2017","663.4"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2018","49.78"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2019","138.24"
"Oman","(Total production of electricity (GW/H)","Raysut New Power Station","Total","Total","Gw/H","2020","98.4"
"Oman","(Total production of electricity (GW/H)","Salalah 2-IPP","Total","Total","Gw/H","2018","1673.3"
"Oman","(Total production of electricity (GW/H)","Salalah 2-IPP","Total","Total","Gw/H","2019","1535.8"
"Oman","(Total production of electricity (GW/H)","Salalah 2-IPP","Total","Total","Gw/H","2020","1630.2"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2012","1443"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2013","2012"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2014","1883"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2015","2043"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2016","2495"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2017","2641"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2018","1645.36"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2019","1990.76"
"Oman","(Total production of electricity (GW/H)","Salalah IWPP","Total","Total","Gw/H","2020","1666.8"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2013","0"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2014","0"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2015","0"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2016","0"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2017","0"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2018","0"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2019","0"
"Oman","(Total production of electricity (GW/H)","Raysut","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Al Hallaniyat","Total","Total","Gw/H","2012","1.5"
"Oman","(Total production of electricity (GW/H)","Al Hallaniyat","Total","Total","Gw/H","2013","1.7"
"Oman","(Total production of electricity (GW/H)","Al Hallaniyat","Total","Total","Gw/H","2014","1.7"
"Oman","(Total production of electricity (GW/H)","Al Hallaniyat","Total","Total","Gw/H","2015","1.9"
"Oman","(Total production of electricity (GW/H)","Al Hallaniyat","Total","Total","Gw/H","2016","2"
"Oman","(Total production of electricity (GW/H)","Al Hallaniyat","Total","Total","Gw/H","2017","1.9"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2012","7.6"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2013","0"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2014","0"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2015","0"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2016","0"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2017","0"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2018","0"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2019","0"
"Oman","(Total production of electricity (GW/H)","Dalkut","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2012","1.5"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2013","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2014","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2015","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2016","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2017","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2018","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2019","0"
"Oman","(Total production of electricity (GW/H)","Hasek","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2012","3.4"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2013","5.4"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2014","5.8"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2015","7.1"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2016","8.1"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2017","10.5"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2018","11.91"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2019","13.28"
"Oman","(Total production of electricity (GW/H)","Hasik (new)","Total","Total","Gw/H","2020","13.4"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2012","5.5"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2013","5.5"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2014","6.43"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2015","7.6"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2016","0"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2017","0"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2018","0"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2019","0"
"Oman","(Total production of electricity (GW/H)","Mudhai","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2012","4.5"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2013","4.6"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2014","4.3"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2015","5"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2016","5.2"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2017","4.8"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2018","5.14"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2019","6.06"
"Oman","(Total production of electricity (GW/H)","Sharbithat","Total","Total","Gw/H","2020","6.2"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2012","15"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2013","18.2"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2014","22.7"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2015","27.3"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2016","30.1"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2017","33.6"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2018","35.36"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2019","41.1"
"Oman","(Total production of electricity (GW/H)","Al Maziyuna","Total","Total","Gw/H","2020","44.1"
"Oman","(Total production of electricity (GW/H)","Maziyuna Solar Energy","Total","Total","Gw/H","2018","0.6"
"Oman","(Total production of electricity (GW/H)","Maziyuna Solar Energy","Total","Total","Gw/H","2019","0.6"
"Oman","(Total production of electricity (GW/H)","Maziyuna Solar Energy","Total","Total","Gw/H","2020","0.5"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2012","18.4"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2013","31.3"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2014","32.1"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2015","37.1"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2016","11.5"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2017","45.1"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2018","35.75"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2019","42.67"
"Oman","(Total production of electricity (GW/H)","Shahab Ashaab","Total","Total","Gw/H","2020","46.1"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2012","2.1"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2013","2.4"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2014","3.1"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2015","3.4"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2016","3.7"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2017","3.8"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2018","3.93"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2019","4.29"
"Oman","(Total production of electricity (GW/H)","Haroib","Total","Total","Gw/H","2020","4.8"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2012","0.6"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2013","0"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2014","0"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2015","0"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2016","0"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2017","0"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2018","0"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2019","0"
"Oman","(Total production of electricity (GW/H)","Rabkoot","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2012","1.8"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2013","1.8"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2014","3"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2015","2.3"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2016","2.3"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2017","2.8"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2018","2.68"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2019","2.73"
"Oman","(Total production of electricity (GW/H)","Bribzoom","Total","Total","Gw/H","2020","2.6"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2012","1.8"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2013","2.1"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2014","2.4"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2015","2.7"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2016","2.8"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2017","3.6"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2018","3.6"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2019","1.55"
"Oman","(Total production of electricity (GW/H)","Maqshon","Total","Total","Gw/H","2020","0"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2012","3.7"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2013","4.7"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2014","5.3"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2015","6.2"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2016","6.2"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2017","6.5"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2018","9.04"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2019","10.73"
"Oman","(Total production of electricity (GW/H)","Dahboon","Total","Total","Gw/H","2020","11.4"
"Oman","(Total production of electricity (GW/H)","Eyon","Total","Total","Gw/H","2012","0.8"
"Oman","(Total production of electricity (GW/H)","Eyon","Total","Total","Gw/H","2013","0.6"
"Oman","(Total production of electricity (GW/H)","Eyon","Total","Total","Gw/H","2014","0.6"
"Oman","(Total production of electricity (GW/H)","Eyon","Total","Total","Gw/H","2015","0.7"
"Oman","(Total production of electricity (GW/H)","Eyon","Total","Total","Gw/H","2016","0.7"
